season,week,method,predicted,actual,correct
1,2,rank,Trista Sutter,Trista Sutter,True
1,3,rank,Evander Holyfield,Evander Holyfield,True
1,4,rank,Rachel Hunter,Rachel Hunter,True
2,2,rank,Tatum O'Neal,Tatum O'Neal,True
2,3,rank,Giselle Fernandez,Giselle Fernandez,True
2,4,rank,Master P,Master P,True
2,5,rank,Tia Carrere,Tia Carrere,True
2,6,rank,George Hamilton,George Hamilton,True
2,7,rank,Lisa Rinna,Lisa Rinna,True
3,2,percent,Shanna Moakler,Shanna Moakler,True
3,3,percent,Harry Hamlin,Harry Hamlin,True
3,4,percent,Vivica A. Fox,Vivica A. Fox,True
3,5,percent,Willa Ford,Willa Ford,True
3,7,percent,Jerry Springer,Jerry Springer,True
3,8,percent,Monique Coleman,Monique Coleman,True
4,2,percent,Paulina Porizkova,Paulina Porizkova,True
4,3,percent,Shandi Finnessey,Shandi Finnessey,True
4,4,percent,Leeza Gibbons,Leeza Gibbons,True
4,5,percent,Clyde Drexler,Clyde Drexler,True
4,6,percent,Heather Mills,Heather Mills,True
4,7,percent,John Ratzenberger,John Ratzenberger,True
4,8,percent,Billy Ray Cyrus,Billy Ray Cyrus,True
4,9,percent,Ian Ziering,Ian Ziering,True
5,2,percent,Albert Reed,Albert Reed,True
5,3,percent,Wayne Newton,Wayne Newton,True
5,4,percent,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,True
5,5,percent,Mark Cuban,Mark Cuban,True
5,6,percent,Sabrina Bryan,Sabrina Bryan,True
5,7,percent,Jane Seymour,Jane Seymour,True
5,8,percent,Cameron Mathison,Cameron Mathison,True
5,9,percent,Jennie Garth,Jennie Garth,True
6,2,percent,Monica Seles,Monica Seles,True
6,3,percent,Steve Guttenberg,Steve Guttenberg,True
6,4,percent,Adam Carolla,Adam Carolla,True
6,5,percent,Priscilla Presley,Priscilla Presley,True
6,6,percent,Marlee Matlin,Marlee Matlin,True
6,7,percent,Shannon Elizabeth,Shannon Elizabeth,True
6,8,percent,Mario,Mario,True
6,9,percent,Marissa Jaret Winokur,Marissa Jaret Winokur,True
7,2,percent,Kim Kardashian,Kim Kardashian,True
7,4,percent,Rocco DiSpirito,Rocco DiSpirito,True
7,5,percent,Toni Braxton,Toni Braxton,True
7,6,percent,Cloris Leachman,Cloris Leachman,True
7,7,percent,Susan Lucci,Susan Lucci,True
7,8,percent,Maurice Greene,Maurice Greene,True
7,9,percent,Cody Linley,Cody Linley,True
8,2,percent,Belinda Carlisle,Belinda Carlisle,True
8,3,percent,Denise Richards,Denise Richards,True
8,4,percent,Steve Wozniak,Steve Wozniak,True
8,5,percent,David Alan Grier,David Alan Grier,True
8,6,percent,Steve-O,Steve-O,True
8,7,percent,Lawrence Taylor,Lawrence Taylor,True
8,8,percent,Chuck Wicks,Chuck Wicks,True
8,9,percent,Lil' Kim,Lil' Kim,True
8,10,percent,Ty Murray,Ty Murray,True
9,2,percent,Kathy Ireland,Kathy Ireland,True
9,3,percent,Debi Mazar,Debi Mazar,True
9,4,percent,Chuck Liddell,Chuck Liddell,True
9,5,percent,Natalie Coughlin,Natalie Coughlin,True
9,6,percent,Melissa Joan Hart,Melissa Joan Hart,True
9,7,percent,Mark Dacascos,Mark Dacascos,True
9,8,percent,Aaron Carter,Aaron Carter,True
9,9,percent,Joanna Krupa,Joanna Krupa,True
10,2,percent,Shannen Doherty,Shannen Doherty,True
10,3,percent,Buzz Aldrin,Buzz Aldrin,True
10,4,percent,Aiden Turner,Aiden Turner,True
10,5,percent,Kate Gosselin,Kate Gosselin,True
10,6,percent,Jake Pavelka,Jake Pavelka,True
10,7,percent,Pamela Anderson,Pamela Anderson,True
10,8,percent,Niecy Nash,Niecy Nash,True
10,9,percent,Chad Ochocinco,Chad Ochocinco,True
11,2,percent,Michael Bolton,Michael Bolton,True
11,3,percent,Margaret Cho,Margaret Cho,True
11,4,percent,The Situation,The Situation,True
11,5,percent,Florence Henderson,Florence Henderson,True
11,6,percent,Audrina Patridge,Audrina Patridge,True
11,7,percent,Rick Fox,Rick Fox,True
11,8,percent,Kurt Warner,Kurt Warner,True
11,9,percent,Brandy,Brandy,True
12,2,percent,Mike Catherwood,Mike Catherwood,True
12,3,percent,Wendy Williams,Wendy Williams,True
12,4,percent,Sugar Ray Leonard,Sugar Ray Leonard,True
12,5,percent,Petra Nemcova,Petra Nemcova,True
12,6,percent,Chris Jericho,Chris Jericho,True
12,7,percent,Kendra Wilkinson,Kendra Wilkinson,True
12,8,percent,Romeo,Romeo,True
12,9,percent,Ralph Macchio,Ralph Macchio,True
13,2,percent,Elisabetta Canalis,Elisabetta Canalis,True
13,3,percent,Kristin Cavallari,Kristin Cavallari,True
13,4,percent,Chynna Phillips,Chynna Phillips,True
13,5,percent,Carson Kressley,Carson Kressley,True
13,6,percent,Chaz Bono,Chaz Bono,True
13,7,percent,David Arquette,David Arquette,True
13,8,percent,Nancy Grace,Nancy Grace,True
13,9,percent,Hope Solo,Hope Solo,True
14,2,percent,Martina Navratilova,Martina Navratilova,True
14,3,percent,Jack Wagner,Jack Wagner,True
14,4,percent,Sherri Sheperd,Sherri Sheperd,True
14,5,percent,Gavin DeGraw,Gavin DeGraw,True
14,6,percent,Gladys Knight,Gladys Knight,True
14,7,percent,Jaleel White,Jaleel White,True
14,8,percent,Roshon Fegan,Roshon Fegan,True
14,9,percent,Maria Menounos,Maria Menounos,True
15,2,percent,Joey Fatone,Joey Fatone,True
15,3,percent,Helio Castroneves,Helio Castroneves,True
15,4,percent,Bristol Palin,Bristol Palin,True
15,6,percent,Sabrina Bryan,Sabrina Bryan,True
15,8,percent,Gilles Marini,Gilles Marini,True
15,9,percent,Apolo Anton Ohno,Apolo Anton Ohno,True
16,3,percent,Wynonna Judd,Wynonna Judd,True
16,4,percent,Lisa Vanderpump,Lisa Vanderpump,True
16,5,percent,D. L. Hughley,D. L. Hughley,True
16,6,percent,Victor Ortiz,Victor Ortiz,True
16,7,percent,Andy Dick,Andy Dick,True
16,8,percent,Sean Lowe,Sean Lowe,True
16,9,percent,Ingo Rademacher,Ingo Rademacher,True
16,10,percent,Alexandra Raisman,Alexandra Raisman,True
17,2,percent,Keyshawn Johnson,Keyshawn Johnson,True
17,3,percent,Bill Nye,Bill Nye,True
17,4,percent,Valerie Harper,Valerie Harper,True
17,5,percent,Christina Milian,Christina Milian,True
17,7,percent,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",True
17,8,percent,Brant Daugherty,Brant Daugherty,True
17,9,percent,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,True
17,10,percent,Leah Remini,Leah Remini,True
17,11,percent,Bill Engvall,Bill Engvall,True
18,2,percent,Sean Avery,Sean Avery,True
18,5,percent,Cody Simpson,Cody Simpson,True
18,6,percent,Drew Carey,Drew Carey,True
18,7,percent,NeNe Leakes,NeNe Leakes,True
18,8,percent,Danica McKellar,Danica McKellar,True
18,9,percent,Charlie White,Charlie White,True
